"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,,,,
[Money amounts are in thousands of dollars],,,,,,,,,,,
Taxable interest:  Number....................................................,"475,758","160,122","72,288","110,131","77,448","27,731","20,672","7,366",,,
Amount.............................................................................,"1,230,125","274,608","145,126","207,906","177,136","92,992","127,716","204,641",,,
Tax-exempt interest [5]:Number........................................,"27,193","4,522","2,776","5,304","5,169","2,878","3,890","2,654",,,
Amount.............................................................................,"231,478","17,576","13,755","32,296","37,230","22,621","44,900","63,100",,,
Dividends:  Number..............................................................,"181,025","49,047","23,109","39,223","33,681","15,410","14,465","6,090",,,
Amount.............................................................................,"678,578","61,509","35,810","64,369","71,115","46,273","80,923","318,579",,,
Business or profession net income (less loss):,,,,,,,,0,,,
Number............................................................................,"161,683","70,099","24,318","32,302","18,843","6,876","6,508","2,737",,,
Amount.............................................................................,"1,239,005","229,363","133,395","204,179","170,636","108,882","219,293","173,257",,,
Number of farm returns........................................................,"52,036","20,977","8,106","11,408","6,528","2,151","1,963",903,,,
Net capital gain (less loss) in AGI:  Number........................,"155,152","43,938","19,986","32,483","27,049","12,697","13,000","5,999",,,
Amount.............................................................................,"1,107,449","74,013","44,094","92,107","120,581","89,178","186,201","501,275",,,
Taxable Individual Retirement Arrangements,,,,,,,,0,,,
distributions [6]:  Number.................................................,"47,747","16,353","8,565","10,340","7,088","2,688","2,122",591,,,
Amount.............................................................................,"345,750","60,523","43,540","68,175","67,930","38,162","43,836","23,584",,,
Pensions and annuities in AGI:  Number.............................,"157,509","60,272","28,498","34,002","21,591","7,118","4,762","1,266",,,
Amount.............................................................................,"1,818,374","412,133","313,977","445,642","354,833","143,460","114,444","33,885",,,
Social Security benefits in AGI:  Number.............................,"59,610","1,541","11,298","23,424","13,774","4,634","3,756","1,183",,,
Amount.............................................................................,"390,872","5,353","18,391","111,066","135,684","54,817","48,304","17,257",,,
Total statutory adjustments:  Number..................................,"168,345","66,443","25,926","34,924","19,548","8,201","9,134","4,169",,,
Amount.............................................................................,"282,083","49,582","32,807","53,855","41,029","26,125","46,938","31,747",,,
Self-employment retirement plans [6]:  Number...............,"4,495",195,258,604,841,664,"1,270",663,,,
Amount.........................................................................,"35,522",414,604,"1,983","3,622","4,166","13,495","11,238",,,
Total itemized deductions [7]:Number...................................,"213,145","21,104","22,918","55,826","60,053","25,886","20,138","7,220",,,
Amount.................................................................................,"3,034,035","277,683","215,844","570,913","709,245","388,403","427,212","444,735",,,
Medical and dental expense:  Number.................................,"48,548","14,911","10,271","14,053","6,844","1,662",740,67,,,
Amount.............................................................................,"251,286","107,879","45,475","52,613","27,661","8,515","6,990","2,153",,,
Taxes paid:  Number............................................................,"212,477","20,058","22,860","56,063","60,212","25,919","20,142","7,223",,,
Amount.............................................................................,"937,798","23,717","33,987","130,779","218,502","138,160","175,791","216,862",,,
Interest paid:  Number..........................................................,"173,475","13,094","16,919","46,888","52,876","22,291","16,020","5,387",,,
Amount.............................................................................,"1,020,817","101,496","69,532","209,339","265,554","134,644","134,996","105,256",,,
Contributions:  Number........................................................,"183,607","14,780","18,173","47,099","53,669","24,077","18,907","6,902",,,
