"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
Number............................................................................,"205,829","193,750","12,079",--,--,--,--
Amount.............................................................................,"330,595","322,418","8,177",--,--,--,--
Income tax [11]:Number........................................................,"793,823","288,998","163,554","182,840","97,951","31,034","21,918"
Amount.................................................................................,"3,851,470","200,809","311,546","700,673","713,871","402,111","542,988"
Total tax liability [12]:Number................................................,"836,082","330,296","164,302","182,984","97,992","31,044","21,929"
Amount.................................................................................,"4,109,121","258,755","341,740","750,290","755,302","426,498","578,637"
Tax due at time of filing [13]:Number....................................,"243,936","76,981","39,666","57,648","37,723","15,867","11,829"
Amount.................................................................................,"580,933","39,626","37,887","79,934","86,969","65,825","114,158"
Overpayments [14]:Number..................................................,"770,430","447,088","122,342","120,744","56,890","13,537","7,892"
Amount.................................................................................,"1,020,597","562,512","129,739","141,121","92,730","30,423","34,810"
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
,,,,,Size of adjusted gross income,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 "
,,"$20,000 [1]",under,under,under,under,under
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 "
,-1,-2,-3,-4,-5,-6,-7
CALIFORNIA,,,,,,,
Number of returns....................................................................,"13,488,180","6,000,354","1,894,592","2,395,148","1,603,108","743,024","647,686"
